"id";"code";"d1";"d2";"d3";"d4";"d5";"d6";"d7";"d8"
1093;"德基科技控股";"-34.8260";"14.1250";"21.1570";"10.1700";"-28.4990";"30.7880";"74.3260";"13.4680"
1094;"先健科技 ";"67.3290";"163.4720";"84.2040";"145.6520";"51.8700";"2.3590";"-202.1720";"-81.2440"
1095;"匯力资源";"-1.9170";"-13.3100";"-34.6150";"-101.8080";"-20.1600";"-54.4660";"0.7200";"-45.3760"
1096;"伟志控股";"16.9290";"10.5330";"22.3300";"6.3990";"-0.8010";"-38.7670";"41.3680";"36.1300"
1097;"海丰国际";"91.0100";"188.6130";"85.0780";"122.7900";"143.2470";"70.5210";"70.9410";"37.2640"
1098;"香港宽频";"240.9350";"171.1100";"46.0340";"244.6790";"135.2520";"53.5500";"104.2680";"10.8870"
1099;"同方康泰";"-14.7310";"-1.8060";"-37.0760";"-8.3610";"-18.0470";"-34.2370";"-3.6140";"32.5640"
1100;"华润水泥控股 ";"6092.5350";"4025.9760";"1791.6900";"3616.7420";"2648.6240";"1639.8020";"604.4530";"1325.8550"
1101;"翠华控股";"80.2050";"90.4830";"48.0090";"42.2340";"71.6750";"81.2660";"157.4070";"88.8620"
1102;"允升国际（新）";"-22.3720";"-13.5530";"-0.1450";"5.0240";"-15.6770";"19.9180";"-117.2630";"-54.1230"
1103;"耐世特";"199.6050";"351.7690";"179.6860";"294.7230";"148.8690";"205.4320";"96.5190";"161.3980"
1104;"枫叶教育";"236.4890";"410.4760";"307.5640";"180.6550";"124.9880";"205.5460";"40.0360";"61.7690"
1105;"格菱控股";"-276.0810";"-95.8990";"-203.0720";"-72.3830";"-487.5360";"-83.5100";"-79.8600";"35.7370"
1106;"霭华押业信贷";"100.9080";"54.4350";"103.2300";"53.7917";"91.3659";"80.0910";"45.7605";"36.8216"
1107;"中国新城市";"-54.0900";"488.5050";"265.3750";"63.9260";"147.0420";"740.3370";"476.5040";"96.3380"
1108;"创达科技控股";"249.3160";"108.2120";"234.4600";"104.5570";"220.2290";"116.3570";"129.9450";"304.4220"
1109;"友川集团";"14.7040";"-190.4000";"55.3890";"-153.0790";"-284.3940";"-60.1840";"-258.8750";"-137.1280"
1110;"传递娱乐";"-189.7500";"-28.8980";"-39.9840";"8.0250";"7.0630";"-72.5910";"-215.2580";"26.3860"
1111;"时间由你";"-21.0320";"-132.0460";"-113.1840";"-322.5140";"85.9010";"-44.5270";"61.6980";"35.0500"
1112;"精英国际";"-12.7750";"-49.2000";"-40.3220";"-33.1660";"-13.6000";"44.5130";"28.2940";"2.2850"
1113;"首创钜大";"12.4760";"113.1590";"227.2730";"8.8380";"130.3840";"631.0250";"-48.8230";"301.8790"
1114;"绿色动力环保 ";"168.0867";"145.8540";"206.4774";"230.9957";"165.6060";"226.7580";"110.3920";"142.0450"
1115;"中国透云";"-82.8380";"-245.2260";"-92.4860";"-282.7980";"-1150.8250";"255.2590";"10.3490";"341.3740"
1116;"中国忠旺";"1093.4200";"535.4010";"3533.4310";"2093.3960";"1092.5360";"512.5850";"2871.3790";"2439.1390"
1117;"顺泰控股";"4.6130";"-17.4730";"-165.2190";"36.1320";"326.5300";"0.0630";"331.4560";"92.5070"
1118;"新华保险";"5799.0000";"2609.0000";"5383.0000";"5042.0000";"3237.0000";"1837.0000";"4942.0000";"4786.0000"
1119;"雷蛇";"-56.3180";"-51.8950";"-164.0200";"-59.3320";"20.3320";"-20.3560";"-59.3320";"118.3820"
1120;"霸王集团";"-11.4100";"19.2270";"1.1310";"43.7040";"-110.4250";"21.1640";"-116.4570";"-88.1380"
1121;"中国人民保险集团 ";"10045.0000";"16099.0000";"8815.0000";"14245.0000";"7725.0000";"19542.0000";"12821.0000";"13109.0000"
1122;"惠生国际";"-22.0500";"-0.2750";"70.7010";"2.3230";"54.6540";"116.6940";"51.2560";"103.6120"
1123;"昊天国际建投";"-12.5280";"0.3000";"-3.4810";"-0.4980";"-11.2400";"7.9750";"24.3240";"39.2320"
1124;"中国先锋医药";"120.6820";"278.9250";"141.3480";"237.4450";"98.8070";"174.3020";"161.9640";"261.7180"
1125;"华虹半导体";"85.8880";"40.0970";"145.2620";"68.4190";"34.0660";"128.8320";"60.8150";"21.8100"
1126;"滉达富控股";"-47.1690";"-94.1430";"-19.9500";"-29.9920";"-0.3660";"-77.5720";"-3.7210";"16.7610"
1127;"复旦张江";"52.4080";"75.2870";"49.5720";"138.7080";"45.9360";"127.7230";"39.6610";"118.2580"
1128;"诺奇";"-13.7490";"-5.8930";"5.7490";"406.1950";"-11.2540";"-216.3070";"-324.0020";"46.7060"
1129;"朸濬国际  ";"-9.9666";"-21.6600";"-45.3562";"-98.2892";"-75.3427";"-123.8356";"-51.5435";"-19.0175"
1130;"美图公司";"-130.3650";"-197.3240";"-2189.7390";"-131.7810";"-2217.5570";"-6260.8800";"-25.8130";"-1772.3360"
1131;"普华和顺";"1587.8330";"81.7170";"122.0840";"194.9490";"118.8350";"208.5820";"115.2150";"176.6300"
1132;"中国信达";"8620.3220";"18122.3900";"8882.3210";"8008.7840";"15512.1550";"14027.4740";"7823.8030";"11896.2430"
1133;"MEGAEXPO HLDG";"90.7060";"-36.4110";"45.1000";"-8.8590";"-67.3460";"45.9190";"-16.4320";"43.3910"
1134;"361度";"335.0110";"456.7060";"318.2540";"402.6520";"273.0820";"517.6390";"269.5850";"397.6420"
1135;"新龙移动 ";"1.0700";"1.3200";"-7.7240";"0.4840";"-7.5840";"0.6410";"2.2320";"0.0580"
1136;"中滔环保";"302.3930";"382.3880";"682.4800";"605.6900";"304.0700";"336.4780";"598.9160";"288.4830"
1137;"润东汽车";"32.9600";"261.0000";"125.2020";"273.5150";"110.1580";"203.3030";"106.6930";"238.9590"
1138;"江南集团";"79.9700";"37.5850";"103.9120";"531.3220";"219.4150";"703.2610";"288.1820";"626.0160"
1139;"广州基金国际控股";"-66.7170";"-44.1590";"-11.0370";"-5.5270";"4.1360";"-5.3670";"3.5930";"24.8130"
1140;"特步国际";"375.1640";"408.1390";"310.3080";"527.8500";"380.0660";"622.6020";"343.5260";"478.0050"
1141;"五洲国际 ";"-518.4940";"101.0620";"100.5730";"53.0210";"-481.7420";"163.5810";"252.8630";"351.6040"
1142;"奥威控股";"49.9140";"-357.0080";"12.1150";"85.6660";"7.0110";"-235.0810";"81.3220";"263.0000"
1143;"华彩控股";"-79.7090";"-192.5680";"-60.6670";"-297.9670";"-127.8250";"-497.6540";"-148.0720";"100.0100"
1144;"比速科技";"-144.5890";"37.7130";"13.1290";"90.1520";"20.0660";"-33.1230";"-2.1850";"15.8740"
1145;"国际家居零售";"104.8450";"39.3780";"87.4920";"34.2360";"66.4920";"21.1030";"88.3900";"44.8280"
1146;"中州证券";"133.3740";"145.7340";"101.8017";"100.0473";"718.6460";"441.9830";"549.7558";"355.7580"
1147;"中国宏桥";"1804.2650";"1488.0470";"5118.5660";"6849.8290";"3706.5120";"3279.4240";"2718.1230";"5313.6320"
1148;"中国金石";"0.9450";"-15.5420";"7.7970";"-124.5480";"-73.6000";"-196.2650";"-28.6080";"-69.0830"
1149;"粤丰环保";"317.9860";"564.2470";"226.1350";"400.0180";"153.8430";"272.0010";"115.8900";"100.8950"
